user,item,rating
1000,934,2
1000,230,4
1000,240,4
1000,257,4
1000,316,3
1000,320,3
1000,324,3
1000,224,4
1000,338,4
1000,385,3
1000,418,3
1000,429,3
1000,466,4
1000,468,3
1000,480,2
1000,369,3
1000,171,3
1000,167,4
1000,150,2
1000,0,1
1000,13,3
1000,30,4
1000,36,1
1000,61,2
1000,75,5
1000,91,4
1000,92,3
1000,93,2
1000,98,2
1000,116,4
1000,123,3
1000,129,3
1000,141,2
1000,144,4
1000,498,3
1000,514,4
1000,343,3
1000,547,3
1000,899,3
1000,917,1
1000,924,4
1000,928,4
1000,932,4
1000,937,1
1000,855,3
1000,527,3
1000,953,4
1000,963,4
1000,968,4
1000,973,4
1000,975,3
1000,983,4
1000,948,5
1000,853,3
1000,946,3
1000,829,4
1000,831,4
1000,559,4
1000,564,3
1000,629,4
1000,662,3
1000,697,4
1000,711,4
1000,652,4
1000,756,4
1000,768,3
1000,776,5
1000,777,4
1000,793,3
1000,814,3
1000,826,4
1008,147,3
1008,194,1
1008,190,4
1008,184,4
1008,167,3
1008,154,1
1008,149,1
1008,235,4
1008,138,2
1008,14,1
1008,129,4
1008,122,1
1008,93,1
1008,80,5
1008,67,4
1008,30,5
1008,1144,1
1008,237,5
1008,132,2
1008,242,4
1008,1192,3
1008,278,1
1008,786,1
1008,789,4
1008,802,2
1008,815,1
1008,823,1
1008,825,2
1008,785,2
1008,831,5
1008,837,2
1008,839,1
1008,862,1
1008,876,3
1008,901,1
1008,907,1
1008,835,4
1008,918,1
1008,771,2
1008,741,5
1008,630,2
1008,652,4
1008,662,1
1008,697,4
1008,698,5
1008,700,5
1008,752,5
1008,707,5
1008,711,2
1008,712,5
1008,724,4
1008,729,4
1008,733,3
1008,740,2
1008,708,5
1008,942,3
1008,948,2
1008,950,2
1008,1051,4
1008,1053,2
1008,1061,2
1008,1082,4
1008,1086,5
1008,1090,3
1008,1048,2
1008,1118,2
1008,1121,3
1008,1124,4
1008,1132,1
1008,1133,1
1008,247,3
1008,1136,3
1008,1119,2
1008,1047,1
1008,1045,2
1008,1044,2
1008,962,1
1008,964,2
1008,977,3
1008,988,3
1008,989,1
1008,999,3
1008,1000,3
1008,1003,4
1008,1013,3
1008,1016,3
1008,1017,1
1008,1028,3
1008,1030,3
1008,1032,3
1008,1035,5
1008,611,1
1008,606,3
1008,796,1
1008,521,2
1008,527,4
1008,547,4
1008,579,3
1008,468,2
1008,463,2
1008,429,4
1008,394,1
1008,393,1
1008,372,2
1008,363,3
1008,346,4
1008,338,2
1008,501,3
1008,320,1
1008,283,2
1008,498,1
1010,296,3
1010,159,1
1010,162,5
1010,163,3
1010,164,4
1010,165,1
1010,168,1
1010,169,2
1010,170,5
1010,171,4
1010,172,3
1010,174,3
1010,176,3
1010,178,4
1010,179,3
1010,182,1
1010,155,2
1010,154,3
1010,152,5
1010,151,3
1010,146,4
1010,318,2
1010,317,4
1010,316,5
1010,314,5
1010,313,4
1010,308,2
1010,184,4
1010,307,5
1010,304,4
1010,303,5
1010,302,1
1010,301,3
1010,147,5
1010,148,4
1010,150,4
1010,305,2
1010,293,3
1010,185,2
1010,189,3
1010,251,4
1010,258,5
1010,261,5
1010,266,4
1010,272,3
1010,274,4
1010,275,3
1010,280,4
1010,281,4
1010,284,3
1010,286,5
1010,288,4
1010,290,2
1010,291,5
1010,292,3
1010,248,3
1010,244,2
1010,242,4
1010,237,5
1010,192,3
1010,194,4
1010,195,2
1010,213,4
1010,214,4
1010,216,2
1010,300,5
1010,186,1
1010,220,5
1010,224,5
1010,299,4
1010,228,3
1010,229,2
1010,234,4
1010,235,5
1010,236,5
1010,223,3
1010,217,4
1010,96,3
1010,1,3
1010,136,3
1010,138,4
1010,139,4
1010,140,3
1010,141,3
1010,142,4
1010,143,4
1010,144,5
1010,135,1
1010,145,2
1010,91,5
1010,88,4
1010,87,4
1010,86,4
1010,85,4
1010,84,4
1010,83,4
1010,82,2
1010,92,4
1010,132,2
1010,129,5
1010,128,2
1010,97,2
1010,98,2
1010,99,2
1010,100,3
1010,101,2
1010,106,2
1010,107,4
1010,108,3
1010,110,2
1010,112,5
1010,114,4
1010,115,2
1010,116,4
1010,118,1
1010,119,2
1010,121,5
1010,122,4
1010,125,4
1010,127,2
1010,80,5
1010,93,4
1010,79,2
1010,75,4
1010,30,4
1010,28,2
1010,27,2
1010,25,1
1010,22,3
1010,19,5
1010,18,3
1010,17,2
1010,33,1
1010,15,4
1010,13,4
1010,11,2
1010,10,1
1010,9,4
1010,6,3
1010,4,2
1010,3,3
1010,2,3
1010,14,4
1010,35,4
1010,37,4
1010,41,1
1010,74,3
1010,73,2
1010,71,3
1010,68,3
1010,67,5
1010,66,3
1010,64,3
1010,63,1
1010,60,1
1010,319,4
1010,57,1
1010,51,2
1010,50,1
1010,49,3
1010,48,2
1010,46,2
1010,45,3
1010,44,4
1010,43,4
1010,77,4
1010,320,3
1010,421,3
1010,322,2
1010,604,3
1010,607,4
1010,611,3
1010,613,2
1010,615,1
1010,618,5
1010,620,4
1010,621,4
1010,622,4
1010,626,4
1010,627,3
1010,629,3
1010,630,5
1010,634,2
1010,636,4
1010,638,4
1010,639,5
1010,602,4
1010,640,5
1010,598,2
1010,591,1
1010,547,4
1010,548,3
1010,550,4
1010,553,4
1010,555,3
1010,556,3
1010,557,3
1010,558,2
1010,562,4
1010,569,3
1010,570,3
1010,571,2
1010,575,2
1010,576,3
1010,577,4
1010,583,4
1010,584,4
1010,592,3
1010,646,2
1010,649,2
1010,651,4
1010,718,3
1010,722,3
1010,724,4
1010,727,3
1010,730,3
1010,731,5
1010,732,3
1010,733,5
1010,735,5
1010,736,3
1010,740,3
1010,741,4
1010,743,5
1010,747,4
1010,750,4
1010,753,5
1010,764,5
1010,715,4
1010,712,4
1010,711,5
1010,710,2
1010,652,5
1010,654,4
1010,656,5
1010,661,4
1010,662,3
1010,663,4
1010,667,2
1010,668,3
1010,545,5
1010,672,4
1010,689,4
1010,697,4
1010,698,4
1010,699,3
1010,700,5
1010,707,3
1010,708,5
1010,709,5
1010,681,2
1010,542,5
1010,539,5
1010,533,3
1010,371,5
1010,372,4
1010,376,5
1010,377,2
1010,378,2
1010,379,4
1010,381,2
1010,385,2
1010,388,3
1010,389,3
1010,396,2
1010,397,4
1010,398,1
1010,402,2
1010,405,3
1010,407,3
1010,408,4
1010,366,2
1010,364,4
1010,362,1
1010,359,4
1010,325,2
1010,326,2
1010,327,5
1010,331,4
1010,333,4
1010,334,3
1010,336,1
1010,338,4
1010,414,3
1010,339,4
1010,342,2
1010,343,5
1010,346,4
1010,349,4
1010,350,4
1010,352,3
1010,356,3
1010,357,2
1010,341,4
1010,321,4
1010,416,4
1010,423,3
1010,492,2
1010,494,4
1010,496,5
1010,497,4
1010,500,5
1010,501,5
1010,507,4
1010,508,2
1010,509,5
1010,514,5
1010,518,4
1010,520,3
1010,526,4
1010,0,5
1010,527,2
1010,530,3
1010,531,4
1010,488,4
1010,487,3
1010,484,4
1010,480,3
1010,424,1
1010,426,3
1010,431,5
1010,432,4
1010,434,4
1010,437,3
1010,440,5
1010,444,4
1010,417,5
1010,449,3
1010,465,3
1010,466,4
1010,469,4
1010,473,4
1010,474,4
1010,477,3
1010,478,2
1010,479,4
1010,458,4
1010,769,2
1010,781,4
1014,1092,3
1014,1070,2
1014,1052,3
1014,1048,5
1014,1047,3
1014,1041,2
1014,1034,3
1014,1030,4
1014,998,4
1014,988,4
1014,975,3
1014,955,3
1014,934,2
1014,933,3
1014,931,1
1014,928,3
1014,916,3
1014,875,3
1014,835,3
1014,830,3
1014,1076,3
1014,822,3
1014,1079,4
1014,1098,1
1014,1180,4
1014,1177,4
1014,1172,4
1014,1166,2
1014,1151,3
1014,1145,4
1014,1144,5
1014,1143,4
1014,1142,4
1014,1141,4
1014,1133,4
1014,1132,3
1014,1129,4
1014,1126,5
1014,1118,3
