user,item,rating
3113,75,5
3113,262,4
3113,331,4
3113,380,2
3113,381,2
3113,490,5
3113,513,4
3113,623,5
3113,708,4
3113,771,4
3113,789,4
3113,796,3
3113,802,5
3113,828,2
3113,829,3
3113,831,5
3113,848,2
3113,870,3
3372,1,5
3372,6,5
3372,14,3
3372,16,3
3372,36,4
3372,39,4
3372,42,5
3372,44,4
3372,60,5
3372,67,4
3372,71,3
3372,79,4
3372,82,5
3372,88,5
3372,90,5
3372,91,5
3372,94,3
3372,95,2
3372,98,5
3372,100,3
3372,103,4
3372,105,5
3372,106,3
3372,108,3
3372,110,4
3372,111,4
3372,113,2
3372,115,4
3372,122,5
3372,128,3
3372,132,5
3372,133,4
3372,134,4
3372,140,3
3372,141,5
3372,142,5
3372,143,5
3372,144,3
3372,145,4
3372,146,4
3372,147,5
3372,149,4
3372,150,5
3372,153,1
3372,178,5
3372,183,4
3372,184,3
3372,194,5
3372,195,5
3372,198,3
3372,202,4
3372,204,3
3372,205,3
3372,207,4
3372,209,5
3372,210,3
3372,212,4
3372,217,5
3372,219,3
3372,221,4
3372,223,4
3372,224,4
3372,225,4
3372,227,3
3372,228,4
3372,229,4
3372,235,4
3372,236,3
3372,237,5
3372,238,3
3372,241,4
3372,242,5
3372,245,4
3372,247,3
3372,249,2
3372,250,4
3372,251,3
3372,257,4
3372,259,4
3372,262,5
3372,265,4
3372,266,4
3372,269,3
3372,270,1
3372,271,4
3372,272,4
3372,280,4
3372,282,4
3372,283,3
3372,285,3
3372,288,4
3372,289,4
3372,291,5
3372,294,5
3372,295,5
3372,297,1
3372,298,5
3543,0,3
3543,6,3
3543,57,4
3543,61,3
3543,67,3
3543,75,4
3543,80,3
3543,83,4
3543,87,4
3543,91,4
3543,132,3
3543,163,3
3543,175,4
3543,219,4
3543,220,3
3543,230,4
3543,235,3
3543,236,5
3543,237,4
3543,242,2
3543,259,3
3543,269,4
3543,280,4
3543,300,3
3543,314,4
3543,320,4
3543,332,4
3543,338,3
3543,346,4
3543,349,3
3543,350,4
3543,364,4
3543,377,4
3543,379,3
3543,381,3
3543,426,4
3543,468,4
3543,494,3
3543,498,3
3543,506,3
3543,519,3
3543,521,4
3543,527,4
3543,530,3
3543,531,3
3543,577,3
3543,586,4
3543,622,4
3543,634,3
3543,652,4
3543,662,3
3543,672,3
3543,673,4
3543,699,3
3543,740,4
3543,788,4
3543,816,3
3543,836,4
3543,857,4
3543,861,4
3543,871,4
3543,899,4
3543,907,4
3543,928,3
3543,946,4
3543,947,4
3543,948,4
3543,953,4
3543,973,4
3543,978,4
3543,983,4
3543,988,4
3543,990,3
3543,994,4
3543,996,3
3543,1017,4
3543,1041,4
3543,1087,3
3543,1089,4
3543,1118,4
3543,1136,3
3691,4,3
3691,30,2
3691,145,0
3691,195,2
3691,205,3
3691,214,2
3691,215,3
3691,237,4
3691,262,4
3691,271,2
3691,280,4
3691,313,2
3691,316,4
3691,349,2
3691,350,1
3691,398,0
3691,405,2
3691,463,1
3691,481,0
3691,501,3
3691,506,1
3691,544,1
3691,547,3
3691,591,1
3691,609,2
3691,611,3
3691,618,3
3691,626,1
3691,630,4
3691,638,2
3691,651,3
3691,662,3
3691,698,3
3691,707,3
3691,744,2
3691,762,2
3691,771,5
3691,839,3
3691,865,2
3774,0,5
3774,4,5
3774,6,4
3774,8,3
3774,10,0
3774,13,2
3774,19,4
3774,21,4
3774,27,3
3774,29,4
3774,30,4
3774,31,2
3774,32,3
3774,36,3
3774,41,3
3774,42,4
3774,43,4
3774,44,3
3774,45,4
3774,46,3
3774,51,2
3774,52,3
3774,55,2
3774,59,3
3774,61,2
3774,64,4
3774,67,2
3774,73,4
3774,75,5
3774,80,4
3774,82,3
3774,86,1
3774,87,4
3774,91,5
3774,95,3
3774,97,3
3774,98,3
3774,101,3
3774,103,3
3774,105,2
3774,108,4
3774,112,4
3774,113,4
3774,114,3
3774,115,4
3774,116,3
3774,118,5
3774,120,3
3774,122,1
3774,126,2
3774,128,3
3774,130,4
3774,134,5
3774,136,3
3774,138,4
3774,139,3
3774,144,4
3774,145,3
3774,146,3
3774,147,3
3774,152,4
3774,154,3
3774,163,3
3774,164,2
3774,165,2
3774,167,5
3774,170,3
3774,171,3
3774,182,2
3774,184,5
3774,189,4
3774,192,4
3774,198,4
3774,212,5
3774,216,3
3774,217,3
3774,219,3
3774,220,4
3774,221,3
3774,224,2
3774,225,3
3774,228,3
3774,229,4
3774,230,3
3774,234,3
3774,235,3
3774,236,5
3774,237,5
3774,238,5
3774,239,4
3774,240,3
3774,241,4
3774,242,3
3774,244,4
3774,245,5
3774,246,3
3774,248,4
3774,249,4
3774,250,4
3774,252,3
3774,253,3
3774,254,3
3774,257,5
3774,260,3
3774,262,4
3774,263,4
3774,265,3
3774,267,5
3774,269,3
3774,270,5
3774,271,4
3774,273,4
3774,274,3
3774,275,3
3774,279,3
3774,280,5
3774,284,3
3774,285,3
3774,286,3
3774,289,3
3774,291,4
3774,294,0
3774,295,4
3774,296,3
3774,297,3
3774,299,3
3774,301,3
3774,302,3
3774,303,4
3774,312,4
3774,314,3
3774,316,4
3774,317,2
3774,318,4
3774,320,3
3774,321,4
3774,324,4
3774,328,3
3774,331,3
3774,336,4
3774,338,2
3774,341,4
3774,342,3
3774,346,4
3774,347,4
3774,349,3
3774,350,3
3774,352,3
3774,364,3
3774,369,3
3774,370,3
3774,371,2
3774,372,4
3774,373,3
3774,374,3
3774,375,3
3774,376,3
3774,377,3
3774,378,3
3774,379,3
3774,380,3
3774,381,3
3774,384,3
3774,385,3
3774,388,1
3774,397,4
3774,402,3
3774,405,3
3774,406,4
3774,411,2
3774,416,1
3774,417,4
3774,418,3
3774,421,3
3774,423,3
3774,429,4
3774,431,3
3774,439,3
3774,442,4
3774,444,3
3774,445,2
3774,448,4
3774,455,3
3774,461,3
3774,462,3
3774,463,3
3774,465,4
3774,466,3
3774,468,5
3774,469,3
3774,474,3
3774,476,4
3774,478,3
3774,480,0
3774,481,4
3774,485,3
3774,487,3
3774,492,3
3774,494,1
3774,496,3
3774,497,1
3774,498,3
3774,499,3
3774,512,5
3774,514,2
3774,517,4
3774,520,3
3774,522,3
3774,526,4
3774,527,5
3774,529,4
3774,530,3
3774,533,3
3774,534,2
3774,539,4
3774,545,3
3774,549,3
3774,550,2
3774,552,3
3774,557,3
3774,559,2
3774,572,3
3774,574,4
3774,575,4
3774,577,2
3774,581,5
